,title,year,rating,director_and_writers
113,Golpe de Mestre,1973,8.2,"George Roy Hill (dir.), Paul Newman, Robert Redford"
114,O Fabuloso Destino de Amélie Poulain,2001,8.2,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
115,Metrópolis,1927,8.2,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
116,Se Meu Apartamento Falasse,1960,8.2,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
117,Por uns Dólares a Mais,1965,8.2,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
118,Pacto de Sangue,1944,8.2,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
119,O Sol é para Todos,1962,8.2,"Robert Mulligan (dir.), Gregory Peck, John Megna"
120,Up: Altas Aventuras,2009,8.2,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
121,Indiana Jones e a Última Cruzada,1989,8.2,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
122,Fogo Contra Fogo,1995,8.2,"Michael Mann (dir.), Al Pacino, Robert De Niro"
123,Los Angeles: Cidade Proibida,1997,8.2,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
124,Green Book: O Guia,2018,8.2,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
125,Duro de Matar,1988,8.2,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
126,Batman Begins,2005,8.2,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
127,Monty Python em Busca do Cálice Sagrado,1975,8.2,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
128,"Yojimbo, o Guarda-Costas",1961,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
129,Rashomon,1950,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
130,A Queda! As Últimas Horas de Hitler,2004,8.2,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
131,Filhos do Paraíso,1997,8.2,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
132,Ran,1985,8.2,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
133,Os Imperdoáveis,1992,8.2,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
134,Quanto Mais Quente Melhor,1959,8.2,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
135,Liga da Justiça de Zack Snyder,2021,8.2,"Zack Snyder (dir.), Henry Cavill, Ben Affleck"
136,O Castelo Animado,2004,8.2,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
137,A Malvada,1950,8.2,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
138,Cassino,1995,8.2,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
139,Uma Mente Brilhante,2001,8.2,"Ron Howard (dir.), Russell Crowe, Ed Harris"
140,O Lobo de Wall Street,2013,8.2,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
141,Fugindo do Inferno,1963,8.2,"John Sturges (dir.), Steve McQueen, James Garner"
142,O Labirinto do Fauno,2006,8.2,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
143,Sangue Negro,2007,8.1,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
144,O Segredo dos Seus Olhos,2009,8.1,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
145,"Jogos, Trapaças e Dois Canos Fumegantes",1998,8.1,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
146,Julgamento em Nuremberg,1961,8.1,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
147,Touro Indomável,1980,8.1,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
148,Meu Amigo Totoro,1988,8.1,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
149,O Tesouro da Sierra Madre,1948,8.1,"John Huston (dir.), Humphrey Bogart, Walter Huston"
150,Disque M para Matar,1954,8.1,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
151,Ilha do Medo,2010,8.1,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
152,Três Anúncios para um Crime,2017,8.1,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
153,Em Busca do Ouro,1925,8.1,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
154,Chinatown,1974,8.1,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
155,Meu Pai e Meu Filho,2005,8.1,"Çagan Irmak (dir.), Eser Sariyar, Çetin Tekindor"
156,Onde os Fracos Não Têm Vez,2007,8.1,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
157,V de Vingança,2005,8.1,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
158,Divertida Mente,2015,8.1,"Pete Docter (dir.), Amy Poehler, Bill Hader"
159,O Enigma de Outro Mundo,1982,8.1,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
160,O Homem Elefante,1980,8.1,"David Lynch (dir.), Anthony Hopkins, John Hurt"
161,O Sétimo Selo,1957,8.1,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
162,Guerreiro,2011,8.1,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
163,O Sexto Sentido,1999,8.1,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
164,Klaus,2019,8.1,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
165,Jurassic Park: O Parque dos Dinossauros,1993,8.1,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
166,Trainspotting: Sem Limites,1996,8.1,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
